127.0.0.1, 2014-11-17 16:31:38, GET, /admin/default/edit/sentinella/views/default/index.html, HTTP/1.1, 200, 0.067247
127.0.0.1, 2014-11-17 16:31:38, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000443
127.0.0.1, 2014-11-17 16:31:38, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.086482
127.0.0.1, 2014-11-17 16:31:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.089003
127.0.0.1, 2014-11-17 16:31:38, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.022441
127.0.0.1, 2014-11-17 16:31:38, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.130931
127.0.0.1, 2014-11-17 16:32:24, POST, /admin/default/edit/sentinella/views/default/index.html, HTTP/1.1, 200, 0.020120
127.0.0.1, 2014-11-17 16:32:26, GET, /sentinella/default/index, HTTP/1.1, 200, 0.194071
127.0.0.1, 2014-11-17 16:32:26, GET, /sentinella/static/js/jquery.js, HTTP/1.1, 304, 0.000349
127.0.0.1, 2014-11-17 16:32:26, GET, /sentinella/static/js/calendar.js, HTTP/1.1, 304, 0.000925
127.0.0.1, 2014-11-17 16:32:26, GET, /sentinella/static/css/calendar.css, HTTP/1.1, 304, 0.001155
127.0.0.1, 2014-11-17 16:32:26, GET, /sentinella/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.002153
127.0.0.1, 2014-11-17 16:32:26, GET, /sentinella/static/js/web2py.js, HTTP/1.1, 304, 0.000756
127.0.0.1, 2014-11-17 16:32:26, GET, /sentinella/static/css/web2py.css, HTTP/1.1, 304, 0.000343
127.0.0.1, 2014-11-17 16:32:26, GET, /sentinella/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000798
127.0.0.1, 2014-11-17 16:32:26, GET, /sentinella/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000384
127.0.0.1, 2014-11-17 16:32:26, GET, /sentinella/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001110
127.0.0.1, 2014-11-17 16:32:26, GET, /sentinella/static/js/share.js, HTTP/1.1, 304, 0.000305
127.0.0.1, 2014-11-17 16:32:26, GET, /sentinella/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000789
127.0.0.1, 2014-11-17 16:32:26, GET, /sentinella/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001149
127.0.0.1, 2014-11-17 16:32:26, GET, /sentinella/static/images/facebook.png, HTTP/1.1, 304, 0.000413
127.0.0.1, 2014-11-17 16:32:26, GET, /sentinella/static/images/twitter.png, HTTP/1.1, 304, 0.000997
